BurstID,Date,MJD(topo@1.5GHz),MJD(bary@inf freq.),DM(pc/cc),DM_err(pc/cc),Weff(ms),Weff_err(ms),Flux(mJy),Flux_err(mJy),Bandwidth(MHz),Bandwidth_err(MHz),Lower_Freq.(MHz),Lower_Freq_err(MHz),Center_Freq.(MHz),Center_Freq_err(MHz),Upper_Freq.(MHz),Upper_freq_err(MHz),Tsamp(s),Nchan,Fluence(mJy ms),Fluence_err(mJy ms),Energy(erg),Energy_err(erg),note,bestfit
B00076,20240221,60361.182893581,60361.178532599,528.3,0.3,1.84,0.14,150.36,3.74,107.9,7.3,1002.6,0.9,1056.5,3.6,1110.5,7.2,0.000049152,4096,277.36,21.6,1.27253E+37,1.31287E+36,,CDF
B00077,20240221,60361.183378479,60361.179017502,529.3,0.1,2.05,0.09,98.17,3.83,410.8,26.8,1082.1,24.6,1287.5,13.4,1492.9,10.7,0.000049152,4096,201.67,11.74,3.52278E+37,3.08036E+36,,CDF
B00078,20240221,60361.183483514,60361.179122538,529.9,0.9,5.3,0.47,66.61,1.56,134,20.2,991.8,11,1058.8,4.3,1125.7,11,0.000049152,4096,353.16,32.14,2.01227E+37,3.54327E+36,,Gaussian
B00079,20240221,60361.184886003,60361.180525039,526.2,1,3.82,0.63,55.16,1.33,115.2,10.1,1004.5,0.9,1062.1,5.1,1119.7,10.1,0.000049152,4096,210.47,34.89,1.03096E+37,1.93317E+36,,CDF
B00080,20240221,60361.186107726,60361.181746773,528.1,3.4,5.31,0.13,247.77,5.54,276,4.1,1002.6,0.9,1140.5,2.1,1278.5,4,0.000049152,4096,1314.99,43.69,1.54325E+38,5.6166E+36,,CDF
B00081,20240221,60361.186107885,60361.181746932,528,3.1,2.95,0.08,415.16,10.84,180.2,4.3,1002.6,0.9,1092.7,2.1,1182.8,4.2,0.000049152,4096,1224.2,45.23,9.38016E+37,4.12593E+36,,CDF
B00082,20240221,60361.186136762,60361.181775809,528.2,0.1,1.98,0.16,129.17,7.17,102.6,2.5,992.9,1.4,1044.2,0.5,1095.4,1.4,0.000049152,4096,255.32,24.91,1.11387E+37,1.1201E+36,,Gaussian
B00083,20240221,60361.186377124,60361.182016173,528.6,0.1,1.28,0.05,434.1,25.39,332.4,8,1166.9,7.9,1333.2,4,1499.4,0.8,0.000049152,4096,555.69,40.01,7.85417E+37,5.96245E+36,high RFI,CDF
B00084,20240221,60361.186885620,60361.182524673,527.9,0.6,3.37,0.26,93.53,1.93,137.8,6.3,1007.6,3.1,1076.5,3.2,1145.4,5.5,0.000049152,4096,315.58,24.83,1.8491E+37,1.68262E+36,,CDF
B00085,20240221,60361.187337286,60361.182976343,530.1,0.2,3.72,0.15,232.88,5.65,206.1,4.9,1002.9,1.1,1105.9,2.5,1209,4.8,0.000049152,4096,867.38,40.59,7.6014E+37,3.99003E+36,,CDF
B00086,20240221,60361.188546652,60361.184185720,528.1,0.1,3.14,0.05,3185.51,151.53,496.7,1.3,1002.6,0.9,1250.9,0.7,1499.3,1,0.000049152,4096,9998.32,501.68,2.11167E+39,1.061E+38,high RFI,CDF
B00087,20240221,60361.188918956,60361.184558027,527.8,0.3,2.72,0.38,128.56,3.72,53.9,8.9,1002.8,1.3,1029.8,4.5,1056.8,8.8,0.000049152,4096,349.13,49.47,8.00175E+36,1.74097E+36,,CDF
B00088,20240221,60361.190977697,60361.186616786,528.3,0.2,1.51,0.06,1030.62,49.24,299.3,15.4,1200,15.4,1349.6,7.7,1499.3,1,0.000049152,4096,1555.94,96.79,1.98018E+38,1.59857E+37,,CDF
B00089,20240221,60361.191559169,60361.187198263,526.5,1.1,1.58,0.26,36.43,1.86,178.7,35.7,1078.6,25.3,1167.9,25.3,1257.3,25.3,0.000049152,4096,57.42,9.93,4.36311E+36,1.15304E+36,,Manual
B00090,20240221,60361.192966473,60361.188605579,530.1,0.1,2.41,0.09,499.78,18.97,397.6,3.7,1002.4,0.8,1201.3,1.9,1400.1,3.6,0.000049152,4096,1204.31,63.83,2.03604E+38,1.09565E+37,,CDF
