,id,station,toa,toa_utc,peak_sn,fluence,fluence_err,width_ms,spectral-density,spec_den_err,spectral-luminosity,spec_lum_err,bandwidth,central frequency,2bit-wb-tag
110,B94-o8,o8,60382.21102479729,60382.215102994,4.32,8.97,1.79,11.26,3.19,0.64,2.83,0.57,128.0,1424.0,0.0
111,B95-o8,o8,60382.22168098966,60382.22575873997,5.62,20.07,4.01,13.31,7.13,1.43,5.36,1.07,128.0,1424.0,0.0
112,B96-o8,o8,60382.30413624861,60382.30821053914,5.91,17.78,3.56,12.29,6.32,1.26,5.14,1.03,128.0,1424.0,0.0
113,B97-o8,o8,60382.33468033882,60382.3387533452,4.64,11.16,2.23,7.17,3.97,0.79,5.53,1.11,128.0,1424.0,0.0
114,B98-o8,o8,60382.36269356339,60382.36676539083,6.66,16.84,3.37,7.68,5.98,1.2,7.79,1.56,77.0,1424.0,0.0
115,B99-o8,o8,60382.383440518046,60382.38751147161,4.59,5.3,1.06,3.07,1.88,0.38,6.13,1.23,52.0,1424.0,0.0
116,B100-st,st,60382.455725201326,60382.4597962616,6.99,31.78,6.36,5.46,11.29,2.26,20.68,4.14,98.0,1381.0,0.0
117,B100-o8,o8,60382.45572784018,60382.45979574401,7.72,29.14,5.83,10.75,10.35,2.07,9.63,1.93,128.0,1424.0,0.0
118,B101-st,st,60382.58195858162,60382.586024355645,6.79,20.92,4.18,3.28,7.44,1.49,22.7,4.54,98.0,1381.0,0.0
119,B101-o8,o8,60382.58196108288,60382.58602364275,10.31,17.41,3.48,7.68,6.19,1.24,8.06,1.61,128.0,1424.0,0.0
120,B102-st,st,60383.26440822302,60383.26844450999,127.34,530.21,106.04,10.92,188.43,37.69,172.55,34.51,98.0,1381.0,0.0
121,B102-o8,o8,60383.2644105753,60383.268443842,95.11,251.61,50.32,12.42,89.42,17.88,72.03,14.41,128.0,1424.0,0.0
122,B103-st,st,60383.34973659815,60383.3537691141,5.42,22.84,4.57,9.61,8.12,1.62,8.45,1.69,57.0,1381.0,0.0
